PassengerId,Pclass,Survived,AgeStandard,FareStandard,SibSp,Parch,male,C,Missing_Embark,Q,S,A_deck,B_deck,C_deck,D_deck,E_deck,F_deck,G_deck,Missing_Deck,T_deck
1,3,0,-0.6744897501960817,-1.382994127100638,0.3010299956639812,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,1,1,0.8122178014999129,1.1783889616137806,0.3010299956639812,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,3,1,0.0,-0.649863538956174,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,1,1,0.5485222826980978,0.9674215661017008,0.3010299956639812,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5,3,0,0.5485222826980978,-0.5485222826980981,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
6,3,0,-0.2641469768259236,-0.46925922933602554,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
7,1,0,1.5932188180230542,0.9522460290518805,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
8,3,0,-2.149768904909605,0.22538687441273753,0.6020599913279624,0.3010299956639812,1,0,0,0,1,0,0,0,0,0,0,0,1,0
9,3,1,0.10463345561407526,-0.2645454005017803,0.0,0.47712125471966244,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10,2,1,-1.410699178450397,0.6307038186119053,0.3010299956639812,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,3,1,-1.8378802347660605,0.12354507242772668,0.3010299956639812,0.3010299956639812,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12,1,1,1.7720341481691486,0.4676543823538879,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
13,3,0,-0.887146559018876,-0.5485222826980981,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
14,3,0,0.8616341201741718,0.6744897501960817,0.3010299956639812,0.7781512503836436,1,0,0,0,1,0,0,0,0,0,0,0,1,0
15,3,0,-1.410699178450397,-0.8122178014999131,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
16,2,1,1.6584720610356294,0.10796788914956672,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17,3,0,-2.149768904909605,0.59714609685134,0.6989700043360189,0.3010299956639812,1,0,0,1,0,0,0,0,0,0,0,0,1,0
18,2,1,0.31863936396437514,-0.1046334556140754,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
19,3,0,0.37409541019772335,0.15255679912047865,0.3010299956639812,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
